x,y,z,label
53,-245,98,circulo
37,-205,149,circulo
54,-225,115,circulo
18,-197,132,circulo
-32,-206,106,circulo
-35,-189,159,circulo
-30,-253,151,circulo
-42,-78,169,circulo
97,-203,151,circulo
-27,-214,110,circulo
-32,-200,128,circulo
-52,-222,114,circulo
-5,-201,70,circulo
-66,-214,142,circulo
-71,-273,128,circulo
-9,-227,52,circulo
-5,-252,124,circulo
-49,-197,140,circulo
5,-245,74,circulo
47,-231,49,circulo
1,-240,142,circulo
-57,-219,94,circulo
22,-268,47,circulo
27,-215,138,circulo
-26,-289,81,circulo
2,-245,99,circulo
27,-207,31,circulo
6,-266,111,circulo
-45,-204,145,circulo
30,-221,61,circulo
49,-260,78,circulo
-21,-259,118,circulo
-24,-242,83,circulo
18,-270,14,circulo
33,-232,77,circulo
-3,-268,82,circulo
-25,-266,56,circulo
63,-295,32,circulo
7,-250,82,circulo
-89,-265,117,circulo
16,-242,8,circulo
66,-282,71,circulo
-51,-268,123,circulo
-13,-278,67,circulo
55,-321,39,circulo
7,-249,78,circulo
-49,-269,144,circulo
-7,-286,-10,circulo
39,-288,100,circulo
-68,-276,77,circulo
-19,-203,128,circulo
67,-279,19,circulo
4,-250,77,circulo
-87,-196,91,circulo
1,-270,-8,circulo
61,-334,52,circulo
1,-219,75,circulo
20,-236,108,circulo
39,-290,23,circulo
69,-123,-35,circulo
-29,-288,79,circulo
5,-315,61,circulo
30,-204,-13,circulo
10,-265,106,circulo
-39,-220,114,circulo
18,-268,45,circulo
50,-273,19,circulo
-5,-235,74,circulo
-80,-281,68,circulo
25,-289,63,circulo
27,-195,7,circulo
34,-180,19,circulo
11,-274,90,circulo
6,-226,94,circulo
23,-174,-3,circulo
5,-261,116,circulo
-20,-171,110,circulo
-3,-174,103,circulo
76,-282,22,circulo
-31,-235,138,circulo
-19,-231,123,circulo
38,-279,11,circulo
44,-293,131,circulo
-53,-171,138,circulo
13,-253,19,circulo
66,-232,90,circulo
-48,-270,159,circulo
16,-241,7,circulo
35,-239,128,circulo
-39,-209,114,circulo
15,-257,-7,circulo
20,-219,120,circulo
-60,-243,76,circulo
21,-241,39,circulo
-5,-250,155,circulo
-11,-218,62,circulo
60,-244,61,circulo
-22,-232,92,circulo
5,-248,41,circulo
-24,-229,130,circulo
1,-254,36,circulo
14,-247,113,circulo
11,-248,46,circulo
22,-244,78,circulo
-26,-249,78,circulo
30,-279,12,circulo
-23,-243,167,circulo
20,-236,47,circulo
29,-254,109,circulo
-38,-230,142,circulo
30,-252,16,circulo
-10,-214,155,circulo
-28,-299,52,circulo
45,-263,21,circulo
-43,-224,125,circulo
-40,-260,97,circulo
28,-271,22,circulo
2,-220,67,circulo
-13,-226,55,circulo
-28,-218,91,circulo
5,-235,92,circulo
26,-267,92,circulo
-3,-222,28,circulo
-27,-256,100,circulo
-37,-219,112,circulo
11,-235,72,circulo
4,-239,65,circulo
42,-269,47,circulo
-7,-215,81,circulo
-7,-198,84,circulo
41,-263,65,circulo
29,-244,51,circulo
12,-262,73,circulo
-41,-211,109,circulo
-68,-238,113,circulo
-21,-229,93,circulo
14,-231,57,circulo
45,-272,72,circulo
-30,-231,67,circulo
-18,-243,76,circulo
-3,-254,113,circulo
20,-225,50,circulo
36,-263,73,circulo
13,-227,64,circulo
-20,-223,95,circulo
0,-283,105,circulo
34,-244,55,circulo
28,-251,45,circulo
-21,-233,51,circulo
-29,-222,122,circulo
10,-261,39,circulo
27,-259,51,circulo
-17,-202,62,circulo
-75,-193,64,circulo
-60,-142,26,circulo
-4,-228,117,circulo
15,-284,13,circulo
14,-246,44,circulo
3,-304,114,circulo
-19,-281,77,circulo
-2,-239,99,circulo
19,-295,58,circulo
43,-294,62,circulo
-54,-224,77,circulo
-103,-242,146,circulo
8,-283,40,circulo
1,-215,35,circulo
0,-237,60,circulo
-30,-256,41,circulo
-117,-292,108,circulo
7,-216,81,circulo
-6,-278,19,circulo
3,-267,70,circulo
-37,-257,70,circulo
2,-201,52,circulo
-29,-311,82,circulo
20,-283,16,circulo
-11,-231,17,circulo
-46,-228,85,circulo
-51,-240,66,circulo
-58,-304,81,circulo
2,-272,14,circulo
24,-221,1,circulo
-35,-265,116,circulo
-17,-237,69,circulo
10,-223,104,circulo
5,-252,49,circulo
44,-236,25,circulo
-15,-237,102,circulo
-66,-248,106,circulo
14,-280,64,circulo
34,-273,93,circulo
10,-244,157,circulo
-68,-226,44,circulo
-92,-230,104,circulo
-4,-328,106,circulo
35,-274,48,circulo
53,-277,36,circulo
-27,-235,69,circulo
-71,-215,95,circulo
25,-175,108,circulo
49,-202,81,circulo
9,-247,26,circulo
-58,-203,88,circulo
-38,-227,118,circulo
47,-300,92,circulo
78,-221,18,circulo
26,-255,89,circulo
-59,-241,110,circulo
-68,-215,153,circulo
56,-250,63,circulo
37,-203,13,circulo
26,-268,83,circulo
-48,-215,83,circulo
-87,-278,164,circulo
-22,-243,57,circulo
48,-285,34,circulo
-43,-254,129,circulo
-39,-237,50,circulo
-11,-218,147,circulo
15,-250,45,circulo
36,-262,76,circulo
-40,-214,27,circulo
-34,-299,89,circulo
-4,-284,106,circulo
74,-247,13,circulo
61,-302,38,circulo
-41,-197,88,circulo
-44,-293,83,circulo
15,-316,123,circulo
42,-264,-17,circulo
36,-289,30,circulo
-14,-288,106,circulo
-12,-198,48,circulo
49,-242,73,circulo
51,-221,52,circulo
52,-274,11,circulo
-4,-277,115,circulo
-16,-233,101,circulo
12,-215,108,circulo
-1,-197,27,circulo
33,-262,32,circulo
-7,-220,79,circulo
-18,-155,128,circulo
4,-265,63,circulo
6,-255,58,circulo
-7,-231,24,circulo
-47,-270,101,circulo
-76,-174,135,circulo
31,-196,60,circulo
19,-234,-33,circulo
-28,-240,119,circulo
-17,-254,97,circulo
-4,-191,139,circulo
-12,-238,25,circulo
7,-194,27,circulo
-27,-253,67,circulo
-19,-235,90,circulo
13,-235,69,circulo
33,-244,41,circulo
12,-230,63,circulo
-37,-162,69,circulo
-8,-237,153,circulo
13,-202,66,circulo
20,-250,77,circulo
-41,-243,97,circulo
-53,-212,178,circulo
28,-280,49,circulo
79,-258,87,circulo
-23,-226,142,circulo
-31,-245,210,circulo
-20,-298,61,circulo
42,-199,92,circulo
12,-234,80,circulo
27,-169,155,circulo
40,-266,53,circulo
-7,-240,93,circulo
-10,-215,109,circulo
29,-238,77,circulo
62,-281,50,circulo
-6,-220,116,circulo
-36,-252,76,circulo
49,-255,43,circulo
-21,-186,137,circulo
26,-262,70,circulo
45,-239,136,circulo
-39,-217,102,circulo
25,-242,62,circulo
37,-237,80,circulo
16,-224,98,circulo
34,-254,65,circulo
30,-238,96,circulo
-3,-234,112,circulo
11,-250,93,circulo
22,-247,67,circulo
18,-236,97,circulo
12,-242,72,circulo
34,-241,96,circulo
-13,-228,90,circulo
25,-237,75,circulo
10,-231,114,circulo
-9,-237,89,circulo
33,-239,84,circulo
11,-222,98,circulo
5,-253,44,circulo
37,-233,111,circulo
42,-240,97,circulo
9,-218,64,circulo
48,-236,71,circulo
14,-237,125,circulo
-8,-284,110,circulo
26,-252,86,circulo
88,-201,160,circulo
1,-137,164,circulo
36,-252,62,circulo
53,-239,93,circulo
24,-201,154,circulo
-9,-323,179,circulo
14,-275,43,circulo
50,-225,146,circulo
32,-197,142,circulo
15,-217,112,circulo
47,-220,106,circulo
57,-201,135,circulo
26,-220,131,circulo
-17,-175,180,circulo
35,-229,112,circulo
45,-254,136,circulo
13,-200,156,circulo
28,-136,166,circulo
25,-266,113,circulo
34,-227,106,circulo
-17,-238,115,circulo
-27,-212,156,circulo
40,-218,108,circulo
33,-243,90,circulo
20,-224,102,circulo
-20,-208,156,circulo
18,-208,121,circulo
60,-242,119,circulo
42,-246,160,circulo
8,-246,122,circulo
-10,-295,100,circulo
12,-213,81,circulo
5,-276,134,circulo
2,-233,127,circulo
2,-277,154,circulo
16,-248,55,circulo
24,-231,71,circulo
-25,-224,54,circulo
-2,-169,172,circulo
27,-251,57,circulo
27,-217,55,circulo
34,-230,122,circulo
-3,-166,87,circulo
27,-107,125,circulo
14,-249,95,circulo
33,-244,101,circulo
-3,-242,120,circulo
-47,-258,111,circulo
13,-251,124,circulo
51,-250,68,circulo
27,-230,105,circulo
0,-242,170,circulo
33,-261,85,circulo
37,-225,85,circulo
18,-239,113,circulo
-71,-192,169,circulo
65,-156,95,circulo
24,-244,59,circulo
-10,-236,118,circulo
-57,-196,141,circulo
28,-328,60,circulo
64,-275,61,circulo
-28,-212,98,circulo
-76,-144,215,circulo
32,-277,19,circulo
49,-173,110,circulo
-56,-254,119,circulo
27,-194,123,circulo
24,-280,57,circulo
61,-241,81,circulo
11,-274,122,circulo
-8,-216,96,circulo
75,-254,116,circulo
48,-263,70,circulo
22,-226,79,circulo
4,-229,102,circulo
4,-214,110,circulo
-1,-261,135,circulo
39,-218,84,circulo
6,-229,97,circulo
-11,-237,139,circulo
-51,-208,87,circulo
-62,-212,81,circulo
-27,-248,114,circulo
14,-261,68,circulo
65,-234,121,circulo
34,-221,126,circulo
-35,-226,75,circulo
-27,-224,74,circulo
-47,-234,146,circulo
-23,-263,120,circulo
