x,y,z,label
-62,-240,30,repouso
-69,-245,25,repouso
-65,-247,29,repouso
-67,-235,27,repouso
-75,-246,21,repouso
-69,-240,28,repouso
-64,-238,30,repouso
-70,-240,27,repouso
-71,-235,24,repouso
-71,-244,23,repouso
-65,-239,29,repouso
-70,-237,28,repouso
-73,-245,29,repouso
-63,-247,30,repouso
-74,-235,32,repouso
-66,-233,36,repouso
-71,-238,31,repouso
-69,-236,33,repouso
-74,-244,34,repouso
-66,-236,32,repouso
-68,-241,32,repouso
-68,-236,33,repouso
-72,-241,27,repouso
-69,-242,27,repouso
-70,-245,31,repouso
-65,-241,33,repouso
-71,-241,31,repouso
-66,-238,31,repouso
-67,-243,32,repouso
-68,-237,31,repouso
-70,-241,30,repouso
-68,-241,31,repouso
-67,-244,31,repouso
-69,-238,33,repouso
-70,-243,28,repouso
-66,-240,32,repouso
-67,-239,29,repouso
-65,-243,33,repouso
-67,-235,28,repouso
-74,-242,32,repouso
-62,-236,30,repouso
-73,-243,31,repouso
-67,-244,29,repouso
-64,-238,34,repouso
-65,-239,32,repouso
-68,-242,30,repouso
-71,-240,32,repouso
-63,-241,30,repouso
-68,-240,30,repouso
-71,-241,30,repouso
-65,-242,29,repouso
-62,-242,31,repouso
-65,-236,31,repouso
-72,-243,32,repouso
-65,-239,34,repouso
-74,-242,29,repouso
-66,-235,32,repouso
-73,-243,29,repouso
-64,-238,34,repouso
-70,-242,32,repouso
-62,-240,32,repouso
-71,-240,34,repouso
-67,-236,34,repouso
-65,-246,36,repouso
-62,-238,34,repouso
-73,-242,33,repouso
-69,-238,29,repouso
-66,-242,34,repouso
-67,-241,33,repouso
-70,-239,31,repouso
-72,-243,30,repouso
-66,-237,35,repouso
-69,-248,30,repouso
-65,-240,34,repouso
-72,-240,30,repouso
-64,-237,34,repouso
-69,-244,32,repouso
-69,-236,32,repouso
-69,-242,31,repouso
-64,-241,34,repouso
-69,-238,32,repouso
-67,-241,33,repouso
-71,-242,29,repouso
-69,-244,36,repouso
-67,-242,36,repouso
-66,-241,31,repouso
-68,-241,32,repouso
-68,-239,32,repouso
-67,-237,34,repouso
-67,-242,34,repouso
-69,-240,31,repouso
-60,-243,34,repouso
-66,-246,34,repouso
-68,-242,32,repouso
-66,-238,32,repouso
-66,-242,31,repouso
-66,-239,32,repouso
-73,-239,31,repouso
-62,-244,36,repouso
-68,-241,29,repouso
-68,-242,35,repouso
-69,-242,28,repouso
-65,-243,32,repouso
-71,-243,34,repouso
-65,-240,32,repouso
-61,-236,32,repouso
-63,-241,36,repouso
-67,-240,34,repouso
-62,-240,36,repouso
-72,-240,28,repouso
-70,-238,35,repouso
-73,-246,29,repouso
-63,-239,37,repouso
-70,-234,34,repouso
-68,-248,33,repouso
-62,-243,36,repouso
-71,-241,33,repouso
-72,-239,33,repouso
-60,-243,37,repouso
-65,-241,30,repouso
-67,-239,36,repouso
-64,-238,33,repouso
-69,-239,31,repouso
-67,-240,32,repouso
-66,-241,33,repouso
-60,-235,33,repouso
-58,-225,36,repouso
-78,-257,30,repouso
-57,-235,31,repouso
-57,-245,28,repouso
-74,-253,23,repouso
-65,-236,28,repouso
-69,-241,24,repouso
-59,-234,21,repouso
-74,-250,15,repouso
-70,-238,18,repouso
-73,-249,14,repouso
-72,-247,18,repouso
-70,-230,26,repouso
-76,-232,-5,repouso
-75,-241,24,repouso
-73,-241,20,repouso
-76,-235,21,repouso
-74,-241,19,repouso
-72,-238,17,repouso
-72,-237,23,repouso
-77,-243,22,repouso
