x,y,z,label
4,-215,-106,triangulo
7,-226,-103,triangulo
-4,-225,-103,triangulo
13,-213,-92,triangulo
-4,-236,-71,triangulo
-18,-235,-88,triangulo
-316,-129,-124,triangulo
-33,-235,-71,triangulo
0,-215,-69,triangulo
-58,-260,-37,triangulo
-111,-311,2,triangulo
-91,-249,16,triangulo
-61,-266,-17,triangulo
-63,-233,-11,triangulo
-51,-246,-28,triangulo
-50,-256,-50,triangulo
-72,-242,39,triangulo
-44,-246,-25,triangulo
-49,-247,10,triangulo
-1,-246,26,triangulo
-51,-225,-77,triangulo
-52,-246,-2,triangulo
-14,-259,-22,triangulo
-85,-246,-21,triangulo
6,-247,-41,triangulo
-68,-243,-18,triangulo
-44,-267,-53,triangulo
-42,-249,3,triangulo
-50,-244,-9,triangulo
-49,-247,-15,triangulo
-51,-246,-8,triangulo
-18,-279,6,triangulo
-73,-225,-60,triangulo
-44,-244,-17,triangulo
-63,-254,-25,triangulo
-52,-234,-20,triangulo
-31,-242,-41,triangulo
-75,-240,-20,triangulo
-48,-211,-79,triangulo
-56,-271,66,triangulo
-40,-246,-43,triangulo
-56,-243,6,triangulo
-17,-257,21,triangulo
-98,-247,-84,triangulo
-54,-241,-6,triangulo
23,-246,-29,triangulo
-75,-234,-20,triangulo
16,-251,-47,triangulo
-75,-242,-30,triangulo
-58,-229,-67,triangulo
-54,-225,49,triangulo
-51,-245,-31,triangulo
-44,-243,-8,triangulo
-57,-284,-30,triangulo
-101,-237,-83,triangulo
-40,-241,-24,triangulo
-75,-249,-15,triangulo
33,-262,-30,triangulo
-29,-242,-37,triangulo
-54,-227,-57,triangulo
-64,-281,14,triangulo
-56,-244,25,triangulo
-30,-249,-8,triangulo
-16,-264,47,triangulo
-92,-235,-94,triangulo
-42,-244,-1,triangulo
-40,-255,-18,triangulo
-46,-245,-19,triangulo
-4,-253,-28,triangulo
-47,-251,-22,triangulo
-59,-248,-38,triangulo
-42,-276,72,triangulo
-32,-248,-39,triangulo
27,-255,29,triangulo
-65,-249,-55,triangulo
-60,-243,-18,triangulo
-66,-268,-10,triangulo
-10,-267,3,triangulo
5,-250,-48,triangulo
-53,-245,-20,triangulo
-25,-197,-94,triangulo
-40,-251,73,triangulo
-40,-247,-40,triangulo
43,-294,10,triangulo
-13,-242,-38,triangulo
-80,-241,-49,triangulo
-28,-248,-20,triangulo
-48,-219,3,triangulo
19,-257,-38,triangulo
-54,-246,-26,triangulo
-51,-221,-91,triangulo
-35,-229,113,triangulo
-41,-250,-44,triangulo
-43,-232,39,triangulo
-66,-262,-62,triangulo
-80,-235,-33,triangulo
-45,-261,6,triangulo
-21,-245,-31,triangulo
2,-254,-16,triangulo
-58,-244,-43,triangulo
-57,-271,50,triangulo
-46,-246,-38,triangulo
-78,-242,-6,triangulo
-42,-280,-15,triangulo
-75,-244,-21,triangulo
-44,-243,-6,triangulo
-38,-249,-10,triangulo
-33,-267,16,triangulo
-40,-236,-16,triangulo
-77,-239,-62,triangulo
-53,-253,-24,triangulo
-15,-240,11,triangulo
4,-250,-47,triangulo
-62,-237,-61,triangulo
-37,-235,-7,triangulo
-53,-241,23,triangulo
-23,-275,12,triangulo
-30,-263,-46,triangulo
-71,-245,-32,triangulo
-40,-255,-37,triangulo
13,-272,-13,triangulo
1,-246,-41,triangulo
-53,-245,-42,triangulo
-39,-204,-42,triangulo
-25,-253,75,triangulo
-36,-247,-27,triangulo
-29,-252,17,triangulo
-50,-215,-7,triangulo
-85,-235,-45,triangulo
-103,-231,-12,triangulo
-46,-235,-24,triangulo
